"","x"
"444","CPC019_A549_24H:BRD-K32101742-001-01-4:10"
"445","CPC019_A549_24H:BRD-K38340366-001-06-6:10"
"446","CPC019_A549_24H:BRD-K44781077-001-01-4:10"
"447","CPC019_A549_24H:BRD-K50634134-001-01-7:10"
"448","CPC019_A549_24H:BRD-K63368502-001-01-1:10"
"449","CPC019_A549_24H:BRD-K71599932-001-01-1:10"
"450","CPC019_A549_24H:BRD-K75296800-001-01-9:10"
"451","CPC019_A549_24H:BRD-K78524708-001-01-4:10"
"452","CPC019_A549_24H:BRD-K78930611-001-07-6:10"
"453","CPC019_A549_24H:BRD-K88742110-001-01-2:10"
"454","CRCGN005_A549_24H:BRD-A19500257:10"
"455","CRCGN005_A549_24H:BRD-A75409952:10"
"456","CRCGN005_A549_24H:BRD-K21680192:10"
"457","CRCGN005_A549_24H:BRD-K81418486:10"
"458","CRCGN006_A549_24H:BRD-A19500257:10"
"459","CRCGN006_A549_24H:BRD-K21680192:10"
"460","CRCGN006_A549_24H:BRD-K81418486:10"
"461","CRCGN007_A549_24H:BRD-A19500257:10"
"462","CRCGN007_A549_24H:BRD-K81418486:10"
"463","DOSBIO001_A549_24H:BRD-A13084692:10"
"464","DOSBIO001_A549_24H:BRD-A19037878:10"
"465","DOSBIO001_A549_24H:BRD-A19500257:10"
"466","DOSBIO001_A549_24H:BRD-A75409952:10"
"467","DOSBIO001_A549_24H:BRD-A90490067:10"
"468","DOSBIO001_A549_24H:BRD-K25436320:10"
"469","DOSBIO001_A549_24H:BRD-K27305650:10"
"470","DOSBIO001_A549_24H:BRD-K81418486:10"
"471","DOSBIO002_A549_24H:BRD-A13084692:10"
"472","DOSBIO002_A549_24H:BRD-A19037878:10"
"473","DOSBIO002_A549_24H:BRD-A19500257:10"
"474","DOSBIO002_A549_24H:BRD-A75409952:10"
"475","DOSBIO002_A549_24H:BRD-A90490067:10"
"476","DOSBIO002_A549_24H:BRD-K39647256:10"
"477","DOSBIO002_A549_24H:BRD-K55149044:10"
"478","DOSBIO002_A549_24H:BRD-K81418486:10"
"479","DOSVAL001_A549_24H:BRD-A75409952:10"
"480","DOSVAL001_A549_24H:BRD-A79768653:10"
"481","DOSVAL001_A549_24H:BRD-K00573290:10"
"482","DOSVAL001_A549_24H:BRD-K19181733:10"
"483","DOSVAL001_A549_24H:BRD-K19540840:10"
"484","DOSVAL001_A549_24H:BRD-K30867024:10"
"485","DOSVAL001_A549_24H:BRD-K34624563:10"
"486","DOSVAL001_A549_24H:BRD-K49328571:10"
"487","DOSVAL001_A549_24H:BRD-K66175015:10"
"488","DOSVAL001_A549_24H:BRD-K69406317:10"
"489","DOSVAL001_A549_24H:BRD-K74514084:10"
"490","DOSVAL001_A549_24H:BRD-K80786583:10"
"491","DOSVAL001_A549_24H:BRD-K81418486:10"
"492","DOSVAL001_A549_24H:BRD-K81473043:10"
"493","DOSVAL001_A549_24H:BRD-K87909389:10"
