"","x"
"479","CPC013_MCF7_24H:BRD-K72451865-001-01-5:10"
"480","CPC013_MCF7_24H:BRD-K74133369-001-01-8:10"
"481","CPC013_MCF7_24H:BRD-K74623475-001-02-7:10"
"482","CPC013_MCF7_24H:BRD-K76236182-001-01-2:10"
"483","CPC013_MCF7_24H:BRD-K82685933-001-02-2:10"
"484","CPC013_MCF7_24H:BRD-K89843224-001-01-0:10"
"485","CPC013_MCF7_24H:BRD-K92428232-001-01-5:10"
"486","CPC013_MCF7_24H:BRD-K93215584-001-01-9:10"
"487","CPC013_MCF7_24H:BRD-K93296644-001-01-7:10"
"488","CPC013_MCF7_24H:BRD-K96167523-001-01-3:10"
"489","CPC013_MCF7_24H:BRD-K99616396-316-01-2:10"
"490","CPC014_MCF7_24H:BRD-A01317026-001-01-2:10"
"491","CPC014_MCF7_24H:BRD-A11007541-003-01-9:10"
"492","CPC014_MCF7_24H:BRD-A11706664-001-01-1:10"
"493","CPC014_MCF7_24H:BRD-A19037878:10"
"494","CPC014_MCF7_24H:BRD-A19500257:10"
"495","CPC014_MCF7_24H:BRD-A25337146-003-07-0:10"
"496","CPC014_MCF7_24H:BRD-A29901043-001-01-0:10"
"497","CPC014_MCF7_24H:BRD-A39052811-377-01-4:10"
"498","CPC014_MCF7_24H:BRD-A45498368-001-02-2:10"
"499","CPC014_MCF7_24H:BRD-A52193669-001-01-7:10"
"500","CPC014_MCF7_24H:BRD-A59145032-003-01-6:10"
"501","CPC014_MCF7_24H:BRD-A67748489-001-06-8:10"
"502","CPC014_MCF7_24H:BRD-A68739437-001-01-0:10"
"503","CPC014_MCF7_24H:BRD-A72180425-001-06-4:10"
"504","CPC014_MCF7_24H:BRD-A75409952:10"
"505","CPC014_MCF7_24H:BRD-A77118605-001-01-2:10"
"506","CPC014_MCF7_24H:BRD-A80775386-001-01-9:10"
"507","CPC014_MCF7_24H:BRD-A89907244-001-01-1:10"
"508","CPC014_MCF7_24H:BRD-A96799240-001-01-7:10"
"509","CPC014_MCF7_24H:BRD-K01253243-001-01-4:10"
"510","CPC014_MCF7_24H:BRD-K01436366-001-02-4:10"
