"","x"
"383","CPC007_PC3_24H:BRD-K75903201-001-11-4:10"
"384","CPC007_PC3_24H:BRD-K81418486:10"
"385","CPC007_PC3_24H:BRD-K83194053-001-07-7:10"
"386","CPC007_PC3_24H:BRD-K88198340-001-05-0:10"
"387","CPC008_PC3_24H:BRD-A17757596-001-01-1:10"
"388","CPC008_PC3_24H:BRD-A19500257:10"
"389","CPC008_PC3_24H:BRD-A32595718-001-04-3:10"
"390","CPC008_PC3_24H:BRD-A38425832-001-01-4:10"
"391","CPC008_PC3_24H:BRD-A93975555-001-06-4:10"
"392","CPC008_PC3_24H:BRD-K02216544-001-01-6:10"
"393","CPC008_PC3_24H:BRD-K10361096-001-04-6:10"
"394","CPC008_PC3_24H:BRD-K11928012-001-05-9:10"
"395","CPC008_PC3_24H:BRD-K16940042-001-01-2:10"
"396","CPC008_PC3_24H:BRD-K19410523-001-01-1:10"
"397","CPC008_PC3_24H:BRD-K24564544-001-01-3:10"
"398","CPC008_PC3_24H:BRD-K32944375-019-01-3:10"
"399","CPC008_PC3_24H:BRD-K37456065-001-01-6:10"
"400","CPC008_PC3_24H:BRD-K40329609-019-01-5:10"
"401","CPC008_PC3_24H:BRD-K54687541-001-01-8:10"
"402","CPC008_PC3_24H:BRD-K57238941-001-06-2:10"
"403","CPC008_PC3_24H:BRD-K58853583-001-01-1:10"
"404","CPC008_PC3_24H:BRD-K61718261-001-04-4:10"
"405","CPC008_PC3_24H:BRD-K62466453-001-04-7:10"
"406","CPC008_PC3_24H:BRD-K66032149-001-01-9:10"
"407","CPC008_PC3_24H:BRD-K74710236-001-04-8:10"
"408","CPC008_PC3_24H:BRD-K75999307-001-05-7:10"
"409","CPC008_PC3_24H:BRD-K76907295-001-03-8:10"
"410","CPC008_PC3_24H:BRD-K79554012-001-01-1:10"
"411","CPC008_PC3_24H:BRD-K81418486:10"
"412","CPC008_PC3_24H:BRD-K83778500-001-01-9:10"
"413","CPC008_PC3_24H:BRD-K88761633-001-01-0:10"
"414","CPC008_PC3_24H:BRD-K91913968-001-08-2:10"
"415","CPC008_PC3_24H:BRD-K92817986-001-03-3:10"
"416","CPC009_PC3_24H:BRD-A16820783-001-06-0:10"
"417","CPC009_PC3_24H:BRD-A19500257:10"
"418","CPC009_PC3_24H:BRD-A42737819-001-01-3:10"
"419","CPC009_PC3_24H:BRD-A43640821-001-04-8:10"
"420","CPC009_PC3_24H:BRD-A98444709-001-04-6:10"
"421","CPC009_PC3_24H:BRD-K00313977-019-01-1:10"
"422","CPC009_PC3_24H:BRD-K01834163-001-04-1:10"
"423","CPC009_PC3_24H:BRD-K03829970-019-01-0:10"
"424","CPC009_PC3_24H:BRD-K08219523-003-02-3:10"
"425","CPC009_PC3_24H:BRD-K11757396-004-01-1:10"
"426","CPC009_PC3_24H:BRD-K14939371-019-01-9:10"
"427","CPC009_PC3_24H:BRD-K15716662-001-03-2:10"
"428","CPC009_PC3_24H:BRD-K18724229-019-01-5:10"
"429","CPC009_PC3_24H:BRD-K18861610-001-04-4:10"
"430","CPC009_PC3_24H:BRD-K23149109-019-01-3:10"
"431","CPC009_PC3_24H:BRD-K28366633-001-05-2:10"
"432","CPC009_PC3_24H:BRD-K36354764-001-04-2:10"
"433","CPC009_PC3_24H:BRD-K38634661-019-01-7:10"
"434","CPC009_PC3_24H:BRD-K51443908-001-03-2:10"
"435","CPC009_PC3_24H:BRD-K55127335-001-05-5:10"
"436","CPC009_PC3_24H:BRD-K56593336-001-05-6:10"
"437","CPC009_PC3_24H:BRD-K59705555-001-01-6:10"
"438","CPC009_PC3_24H:BRD-K73567619-001-04-0:10"
"439","CPC009_PC3_24H:BRD-K76595177-001-05-9:10"
"440","CPC009_PC3_24H:BRD-K80672993-019-01-3:10"
"441","CPC009_PC3_24H:BRD-K89224880-001-07-5:10"
"442","CPC009_PC3_24H:BRD-K94390040-019-01-9:10"
"443","CPC009_PC3_24H:BRD-K95138506-019-01-8:10"
"444","CPC009_PC3_24H:BRD-K96147838-001-01-5:10"
"445","CPC010_PC3_24H:BRD-A18411371-001-10-6:10"
"446","CPC010_PC3_24H:BRD-A19037878:10"
"447","CPC010_PC3_24H:BRD-A19500257:10"
"448","CPC010_PC3_24H:BRD-A72180425-001-10-6:10"
"449","CPC010_PC3_24H:BRD-A75409952:10"
"450","CPC010_PC3_24H:BRD-K06217810-019-03-5:10"
"451","CPC010_PC3_24H:BRD-K41845021-004-02-9:10"
"452","CPC010_PC3_24H:BRD-K53932786-001-08-8:10"
"453","CPC010_PC3_24H:BRD-K59332007-311-03-2:10"
"454","CPC010_PC3_24H:BRD-K73951926-001-03-6:10"
"455","CPC010_PC3_24H:BRD-K78062244-001-10-7:10"
"456","CPC010_PC3_24H:BRD-K78189262-001-04-8:10"
"457","CPC010_PC3_24H:BRD-K81418486:10"
"458","CPC010_PC3_24H:BRD-K89839824-001-03-8:10"
"459","CPC011_PC3_24H:BRD-A23637604-001-02-5:10"
"460","CPC011_PC3_24H:BRD-A30977374-001-13-1:10"
"461","CPC011_PC3_24H:BRD-A42423104-011-04-7:10"
"462","CPC011_PC3_24H:BRD-A48430263-003-11-5:10"
"463","CPC011_PC3_24H:BRD-A52282606-001-05-5:10"
"464","CPC011_PC3_24H:BRD-A52588987-004-06-6:10"
"465","CPC011_PC3_24H:BRD-A97437073-003-09-4:10"
"466","CPC011_PC3_24H:BRD-A97437073-050-08-7:10"
"467","CPC011_PC3_24H:BRD-K00532621-003-06-9:10"
"468","CPC011_PC3_24H:BRD-K05350981-001-01-0:10"
"469","CPC011_PC3_24H:BRD-K15916496-001-23-8:10"
"470","CPC011_PC3_24H:BRD-K17561142-003-24-2:10"
"471","CPC011_PC3_24H:BRD-K17894950-001-11-9:10"
"472","CPC011_PC3_24H:BRD-K21806131-050-02-5:10"
"473","CPC011_PC3_24H:BRD-K27316855-001-09-1:10"
"474","CPC011_PC3_24H:BRD-K29113274-001-20-0:10"
"475","CPC011_PC3_24H:BRD-K33106058-001-12-7:10"
"476","CPC011_PC3_24H:BRD-K34776109-001-11-7:10"
"477","CPC011_PC3_24H:BRD-K37561857-001-12-2:10"
"478","CPC011_PC3_24H:BRD-K37798499-001-13-2:10"
"479","CPC011_PC3_24H:BRD-K39983086-001-04-6:10"
"480","CPC011_PC3_24H:BRD-K41903098-003-07-5:10"
"481","CPC011_PC3_24H:BRD-K49049886-001-05-3:10"
"482","CPC011_PC3_24H:BRD-K56429665-001-06-2:10"
"483","CPC011_PC3_24H:BRD-K59456551-002-15-8:10"
"484","CPC011_PC3_24H:BRD-K60038276-001-05-8:10"
"485","CPC011_PC3_24H:BRD-K70358946-001-11-6:10"
"486","CPC011_PC3_24H:BRD-K73999723-001-07-1:10"
"487","CPC011_PC3_24H:BRD-K74117820-066-08-2:10"
"488","CPC011_PC3_24H:BRD-K79511609-001-17-6:10"
"489","CPC011_PC3_24H:BRD-K79759031-001-05-4:10"
"490","CPC011_PC3_24H:BRD-K81169441-236-06-6:10"
"491","CPC011_PC3_24H:BRD-K81916719-001-10-5:10"
"492","CPC011_PC3_24H:BRD-K82036761-003-12-0:10"
"493","CPC011_PC3_24H:BRD-K82109576-065-20-2:10"
"494","CPC011_PC3_24H:BRD-K82357231-001-11-8:10"
"495","CPC011_PC3_24H:BRD-K82795137-001-20-5:10"
"496","CPC011_PC3_24H:BRD-K92093830-003-23-3:10"
"497","CPC011_PC3_24H:BRD-K94441233-001-09-8:10"
"498","CPC011_PC3_24H:BRD-K97514127-045-02-0:10"
