,0
189,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cccc(-c2ccccc2)n1)[C@@H](C)O)B(O)O
190,O=C1C(=O)N(Cc2ccc(-c3ccc(Cl)nc3)cc2)c2ccc(OC(F)(F)F)cc21
191,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C
192,O=C(Oc1cccc2cccnc12)c1ccccc1
193,Cc1cccc(C(C)c2c[nH]cn2)c1C
194,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
195,CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1
196,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
197,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1
198,Cn1cnc([N+](=O)[O-])c1Sc1[nH]cnc2ncnc1-2
199,COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O
200,CN(C)c1ccc2c(c1)[C@@H]1C[C@@H](CC(=O)NCc3ccc(Oc4ccccc4)cc3)O[C@@H](CO)[C@@H]1O2
201,Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)n(C)c1=O
202,CC(CNC1CCCCC1)OC(=O)c1ccccc1
203,CO[C@H]1C[C@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C
204,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1
